"k","l","cm","n_missings"
10,1,[255 8 2 3 4 2 9 4 4 7; 0 335 3 0 2 0 0 3 1 4; 10 13 277 4 3 2 3 10 4 2; 10 32 7 245 1 8 2 12 9 4; 2 27 2 0 267 0 9 8 0 18; 4 25 4 7 4 229 27 2 7 10; 18 10 2 0 1 6 296 1 8 0; 1 14 5 0 0 0 2 300 2 3; 5 11 5 10 1 9 23 1 266 13; 4 36 3 3 35 3 0 11 2 234],0
10,2,[253 7 2 4 5 2 10 3 5 7; 0 333 3 1 2 0 1 3 0 5; 8 11 280 3 3 2 3 12 2 4; 8 34 8 243 1 8 2 11 10 5; 2 31 3 0 264 0 8 9 0 16; 4 26 3 9 2 226 29 3 6 11; 18 8 2 0 1 6 298 1 8 0; 0 14 5 0 0 0 2 300 2 4; 6 12 5 10 1 8 23 1 265 13; 4 33 4 5 33 4 0 10 2 236],0
10,3,[253 7 2 3 4 2 10 3 5 7; 0 334 3 0 1 0 1 3 1 4; 8 13 277 3 2 2 2 11 2 4; 6 32 9 247 1 7 3 11 7 5; 3 25 2 0 268 0 9 8 0 16; 3 24 2 8 2 229 27 1 6 10; 18 10 2 0 1 6 297 1 7 0; 1 13 5 0 0 0 2 301 2 3; 5 13 5 8 1 7 23 1 265 13; 4 34 3 4 36 3 0 11 2 232],23
10,4,[248 5 1 2 3 2 10 4 4 3; 0 331 3 0 1 0 1 3 0 5; 6 12 271 3 2 2 2 11 2 0; 5 31 5 236 0 6 1 11 7 4; 0 30 2 0 256 0 9 7 0 17; 3 21 0 7 2 219 23 1 4 6; 18 8 2 0 1 5 296 1 7 0; 0 11 5 0 0 0 2 299 2 2; 4 9 4 6 1 4 19 1 262 12; 3 30 2 3 35 3 0 11 2 227],153
10,5,[241 4 0 2 2 0 9 2 3 3; 0 330 2 0 1 0 0 2 0 4; 4 10 262 1 1 1 1 7 0 0; 4 28 4 214 0 5 1 8 4 2; 0 21 0 0 248 0 6 2 0 12; 1 15 0 5 1 201 19 1 0 4; 17 7 0 0 0 3 286 1 5 0; 0 11 3 0 0 0 0 286 1 1; 1 8 1 2 0 3 14 0 236 9; 1 28 0 3 35 3 0 7 1 216],413
10,6,[231 2 0 1 0 0 3 1 2 3; 0 322 2 0 1 0 0 1 0 2; 2 7 242 1 1 0 1 5 0 0; 2 26 2 181 0 0 1 5 3 1; 0 15 0 0 228 0 3 1 0 9; 1 11 0 3 1 176 11 1 0 2; 10 5 0 0 0 3 264 1 3 0; 0 10 1 0 0 0 0 276 0 1; 0 7 0 0 0 3 6 0 200 5; 1 23 0 3 22 1 0 6 0 190],746
10,7,[211 2 0 0 0 0 0 1 1 1; 0 315 1 0 0 0 0 1 0 1; 1 3 216 1 0 0 0 3 0 0; 2 14 1 151 0 0 0 2 0 0; 0 11 0 0 195 0 1 0 0 6; 0 6 0 2 0 142 6 1 0 1; 6 3 0 0 0 0 238 1 2 0; 0 9 0 0 0 0 0 263 0 0; 0 3 0 0 0 0 4 0 168 1; 1 16 0 2 13 1 0 4 0 151],1115
10,8,[179 2 0 0 0 0 0 1 1 0; 0 305 0 0 0 0 0 1 0 0; 1 1 189 0 0 0 0 3 0 0; 1 8 1 128 0 0 0 1 0 0; 0 5 0 0 155 0 1 0 0 2; 0 2 0 0 0 115 3 0 0 0; 2 2 0 0 0 0 198 1 0 0; 0 6 0 0 0 0 0 245 0 0; 0 2 0 0 0 0 2 0 122 0; 0 14 0 1 5 0 0 1 0 114],1480
10,9,[150 1 0 0 0 0 0 1 0 0; 0 293 0 0 0 0 0 0 0 0; 0 1 159 0 0 0 0 2 0 0; 0 3 0 96 0 0 0 0 0 0; 0 2 0 0 110 0 1 0 0 1; 0 0 0 0 0 77 1 0 0 0; 0 1 0 0 0 0 150 1 0 0; 0 3 0 0 0 0 0 215 0 0; 0 1 0 0 0 0 0 0 79 0; 0 8 0 0 2 0 0 0 0 63],1879
10,10,[98 1 0 0 0 0 0 0 0 0; 0 275 0 0 0 0 0 0 0 0; 0 1 103 0 0 0 0 1 0 0; 0 2 0 52 0 0 0 0 0 0; 0 1 0 0 57 0 0 0 0 0; 0 0 0 0 0 45 0 0 0 0; 0 0 0 0 0 0 99 0 0 0; 0 2 0 0 0 0 0 159 0 0; 0 0 0 0 0 0 0 0 49 0; 0 6 0 0 1 0 0 0 0 26],2322
